"query_date","query_route_no","query_route_id","승차정류장ID","승차정류장명","승차정류장순서","승차위도","승차경도","하차정류장ID","하차정류장명","하차정류장순서","하차위도","하차경도","opr_ymd","ride_ctpv_cd","goff_ctpv_cd","clcln_bzmn_id","vr_card_no","card_se_cd","clcln_bzmn_trfc_mns_cd","rte_id","ride_dt","ride_sttn_id","goff_dt","goff_sttn_id","trnf_cnt","users_type_cd","utztn_nope","utztn_dstnc","brdg_hr","msv_intrpl_yn","GTX_A_역","대상지역"
"20251016","7111","41084008","4105064","해솔마을6.7단지","6","37.7221","126.7487833","4179486","이대후문(중)","21","37.5627167","126.9433333","20251016","41","11","08","41_13342392","1","533","41084008","20251016063250","4105064","20251016070539","4179486","0","01","3","35140","1969","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4104784","새암공원","8","37.7113833","126.7460833","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_14036172","2","533","41084008","20251016070747","4104784","20251016073310","4111612","0","01","1","38180","1523","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4104784","새암공원","8","37.7113833","126.7460833","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_14315014","2","533","41084008","20251016073453","4104784","20251016082448","4111612","0","01","3","38180","2995","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4115749","지산중학교.운정행복센터","5","37.7259","126.7512167","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_14422776","2","533","41084008","20251016062826","4115749","20251016075450","4111612","0","01","2","39880","5184","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4104784","새암공원","8","37.7113833","126.7460833","4151586","디지털미디어시티역(중)","18","37.5790667","126.90055","20251016","41","11","08","41_15871562","1","533","41084008","20251016070741","4104784","20251016073212","4151586","0","01","4","29230","1471","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4126945","해오름마을3.4단지","0","37.7414","126.7297167","4151598","연세대앞(중)","20","37.5599667","126.9353333","20251016","41","11","08","41_165317","1","533","41084008","20251016081921","4126945","20251016085743","4151598","0","01","2","38020","2302","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4111456","산내마을6.8단지","2","37.7320333","126.7359667","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_16708108","2","533","41084008","20251016081411","4111456","20251016084307","4111612","0","01","4","41910","1736","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4104784","새암공원","8","37.7113833","126.7460833","4109135","DMC첨단산업센터","17","37.5853167","126.8852167","20251016","41","11","08","41_17013405","2","533","41084008","20251016072908","4104784","20251016080904","4109135","0","01","3","27490","2396","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4114534","산내마을8.12단지(중)","3","37.72975","126.7413167","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_189337","2","533","41084008","20251016083841","4114534","20251016091500","4111612","0","01","3","41270","2179","N","운정중앙역","운정·파주"
"20251016","7111","41084008","4114534","산내마을8.12단지(중)","3","37.72975","126.7413167","4111612","광화문역6번출구.광화문빌딩","24","37.5695167","126.97675","20251016","41","11","08","41_189337","2","533","41084008","20251016100803","4114534","20251016104235","4111612","0","01","2","41270","2072","N","운정중앙역","운정·파주"
