query_date,query_route_no,query_route_id,opr_ymd,ride_ctpv_cd,goff_ctpv_cd,clcln_bzmn_id,vr_card_no,card_se_cd,clcln_bzmn_trfc_mns_cd,rte_id,ride_dt,ride_sttn_id,goff_dt,goff_sttn_id,trnf_cnt,users_type_cd,utztn_nope,utztn_dstnc,brdg_hr,msv_intrpl_yn
20251105,M7731,41016902,20251105,41,11,08,41_10026220,2,570,41016902,20251105074828,4177637,20251105082238,4111588,0,01,1,25830,2050,N
20251105,M7731,41016902,20251105,41,41,08,41_10036269,1,570,41016902,20251105170158,4107446,20251105173526,4177448,0,01,1,5750,2008,N
20251105,M7731,41016902,20251105,41,11,08,41_10045836,2,570,41016902,20251105232400,4106836,20251105235135,4116126,0,01,1,25350,1655,N
20251105,M7731,41016902,20251105,41,11,08,41_10086609,2,570,41016902,20251105101537,4106836,20251105105515,4111588,0,01,1,24330,2378,N
20251105,M7731,41016902,20251105,41,11,08,41_10086609,2,570,41016902,20251105225028,4106836,20251105232500,4111588,0,01,1,24330,2072,N
20251105,M7731,41016902,20251105,41,11,08,41_10107266,2,570,41016902,20251105120519,4110935,20251105125326,4111588,0,01,1,28710,2887,N
20251105,M7731,41016902,20251105,41,11,08,41_10113574,2,570,41016902,20251105161814,4106836,20251105164149,4111588,1,01,1,24330,1415,N
20251105,M7731,41016902,20251105,41,11,08,41_10174167,2,570,41016902,20251105102828,4177448,20251105110547,4111588,0,01,1,22120,2239,N
20251105,M7731,41016902,20251105,41,11,08,41_10176927,2,570,41016902,20251105074841,4177637,20251105084851,4111588,0,01,1,25830,3610,N
20251105,M7731,41016902,20251105,41,11,08,41_10179110,2,570,41016902,20251105204436,4177532,20251105210903,4111588,0,01,1,22980,1467,N
20251105,M7731,41016902,20251105,41,11,08,41_10189030,2,570,41016902,20251105065923,4106836,20251105080722,4111588,1,01,1,24330,4079,N
20251105,M7731,41016902,20251105,41,11,08,41_10195551,2,570,41016902,20251105053749,4106836,20251105061541,4111588,0,01,1,24330,2272,N
20251105,M7731,41016902,20251105,41,11,08,41_10197017,2,570,41016902,20251105220910,4106836,20251105223453,4111588,0,01,1,24330,1543,N
20251105,M7731,41016902,20251105,41,11,08,41_10206111,2,570,41016902,20251105060332,4177510,20251105062441,4111588,0,01,1,29500,1269,N
20251105,M7731,41016902,20251105,41,11,08,41_10221652,1,570,41016902,20251105121731,4177532,20251105125438,4111588,0,01,1,22980,2227,N
20251105,M7731,41016902,20251105,41,11,08,41_10234497,2,570,41016902,20251105191721,4177532,20251105195052,4111588,0,01,1,22980,2011,N
20251105,M7731,41016902,20251105,41,11,08,41_1025192,2,570,41016902,20251105071235,4177448,20251105074934,4116130,0,01,1,24380,2219,N
20251105,M7731,41016902,20251105,41,11,08,41_10264425,2,570,41016902,20251105182030,4177532,20251105185833,4111588,0,01,1,22980,2283,N
20251105,M7731,41016902,20251105,41,11,08,41_10299469,1,570,41016902,20251105182030,4177532,20251105185250,4111588,0,01,1,22980,1940,N
20251105,M7731,41016902,20251105,41,11,08,41_10328977,1,570,41016902,20251105162352,4106836,20251105165125,4111588,0,01,1,24330,1653,N
20251105,M7731,41016902,20251105,41,11,08,41_10333395,2,570,41016902,20251105193505,4177532,20251105202917,4111588,0,01,1,22980,3252,N
20251105,M7731,41016902,20251105,41,11,08,41_10340149,2,570,41016902,20251105085658,4177448,20251105093733,4116126,0,01,1,23140,2435,N
20251105,M7731,41016902,20251105,41,11,08,41_10343572,2,570,41016902,20251105161329,4177637,20251105165221,4111588,0,01,1,25830,2332,N
20251105,M7731,41016902,20251105,41,11,08,41_10359075,2,570,41016902,20251105161329,4177637,20251105165221,4111588,0,01,1,25830,2332,N
20251105,M7731,41016902,20251105,41,11,08,41_10360103,1,570,41016902,20251105080354,4177448,20251105084429,4111598,0,01,1,25410,2435,N
