query_date,query_route_no,query_route_id,opr_ymd,ride_ctpv_cd,goff_ctpv_cd,clcln_bzmn_id,vr_card_no,card_se_cd,clcln_bzmn_trfc_mns_cd,rte_id,ride_dt,ride_sttn_id,goff_dt,goff_sttn_id,trnf_cnt,users_type_cd,utztn_nope,utztn_dstnc,brdg_hr,msv_intrpl_yn
20251106,M7731,41016902,20251106,41,11,08,41_10019816,2,570,41016902,20251106163018,4177448,20251106165815,4116126,0,01,1,23140,1677,N
20251106,M7731,41016902,20251106,41,11,08,41_10020981,2,570,41016902,20251106063405,4177637,20251106071146,4111588,0,01,1,25830,2261,N
20251106,M7731,41016902,20251106,41,11,08,41_10020981,2,570,41016902,20251106081139,4177637,20251106091909,4111588,0,01,1,25830,4050,N
20251106,M7731,41016902,20251106,41,11,08,41_10045374,2,570,41016902,20251106055341,4177637,20251106062751,4111588,0,01,1,25830,2050,N
20251106,M7731,41016902,20251106,41,11,08,41_10065991,2,570,41016902,20251106194524,4106836,20251106201437,4109162,0,01,1,29380,1753,N
20251106,M7731,41016902,20251106,41,41,08,41_10076999,2,570,41016902,20251106093841,4177637,20251106094509,4177448,0,01,1,3710,388,N
20251106,M7731,41016902,20251106,41,11,08,41_10086609,2,570,41016902,20251106200505,4106836,20251106204058,4111588,0,01,1,24330,2153,N
20251106,M7731,41016902,20251106,41,11,08,41_10107505,2,570,41016902,20251106180453,4177532,20251106185635,4111599,0,01,1,26920,3102,N
20251106,M7731,41016902,20251106,41,11,08,41_10141286,2,570,41016902,20251106073221,4177448,20251106082121,4116126,0,01,1,23140,2940,N
20251106,M7731,41016902,20251106,41,11,08,41_10145082,1,570,41016902,20251106134626,4177532,20251106142020,4111588,0,01,1,22980,2034,N
20251106,M7731,41016902,20251106,41,11,08,41_10179110,2,570,41016902,20251106180712,4177532,20251106184114,4111588,0,01,1,22980,2042,N
20251106,M7731,41016902,20251106,41,11,08,41_10189030,2,570,41016902,20251106073129,4106836,20251106080959,4111588,0,01,1,24330,2310,N
20251106,M7731,41016902,20251106,41,11,08,41_10190799,1,570,41016902,20251106192918,4177532,20251106203331,4116126,0,01,1,24000,3853,N
20251106,M7731,41016902,20251106,41,11,08,41_10195551,2,570,41016902,20251106053719,4106836,20251106061034,4111588,0,01,1,24330,1995,N
20251106,M7731,41016902,20251106,41,11,08,41_10197097,1,570,41016902,20251106134626,4177510,20251106143452,4111588,0,01,1,29500,2906,N
20251106,M7731,41016902,20251106,41,11,08,41_1021960,1,570,41016902,20251106180345,4177448,20251106182721,4111588,0,01,1,22120,1416,N
20251106,M7731,41016902,20251106,41,11,08,41_10250210,2,570,41016902,20251106171723,4106836,20251106173831,4111588,0,01,1,24330,1268,N
20251106,M7731,41016902,20251106,41,11,08,41_10264972,2,570,41016902,20251106161802,4177448,20251106164114,4116130,0,01,1,24380,1392,N
20251106,M7731,41016902,20251106,41,11,08,41_10274468,2,570,41016902,20251106083049,4177637,20251106085618,4111588,0,01,1,25830,1529,N
20251106,M7731,41016902,20251106,41,11,08,41_10286765,2,570,41016902,20251106161726,4177448,20251106164038,4116130,0,01,1,24380,1392,N
20251106,M7731,41016902,20251106,41,11,08,41_1029854,2,570,41016902,20251106181545,4177448,20251106185301,4116130,0,01,1,24380,2236,N
20251106,M7731,41016902,20251106,41,11,08,41_1034522,2,570,41016902,20251106143946,4106836,20251106151455,4111588,0,01,1,24330,2109,N
20251106,M7731,41016902,20251106,41,11,08,41_10367032,1,570,41016902,20251106114422,4177637,20251106123006,4111588,0,01,1,25830,2744,N
20251106,M7731,41016902,20251106,41,11,08,41_10395383,2,570,41016902,20251106192626,4177448,20251106195022,4111588,0,01,1,22120,1436,N
20251106,M7731,41016902,20251106,41,11,08,41_10415239,2,570,41016902,20251106085035,4177448,20251106091438,4111588,0,01,1,22120,1443,N
