query_date,query_route_id,query_route_no,ride_ctpv_cd,승차정류장ID,승차정류장명,goff_ctpv_cd,하차정류장ID,하차정류장명,opr_ymd,clcln_bzmn_id,vr_card_no,card_se_cd,clcln_bzmn_trfc_mns_cd,rte_id,ride_dt,goff_dt,trnf_cnt,users_type_cd,utztn_nope,utztn_dstnc,brdg_hr,msv_intrpl_yn,GTX_A_역,대상지역,ride_api_route_id,ride_api_route_no,ride_routeNm,ride_sttn_seq,ride_sttn_nm,ride_sttn_sd_cd,ride_sttn_sgg_cd,ride_sttn_emd_cd,ride_sttn_sd_nm,ride_sttn_sgg_nm,ride_sttn_emd_nm,ride_query_date,ride_query_route_no,goff_api_route_id,goff_api_route_no,goff_routeNm,goff_sttn_seq,goff_sttn_nm,goff_sttn_sd_cd,goff_sttn_sgg_cd,goff_sttn_emd_cd,goff_sttn_sd_nm,goff_sttn_sgg_nm,goff_sttn_emd_nm,goff_query_date,goff_query_route_no
20241017,41016025,1000,41,4111341,고양경찰서.토당청소년수련관(중),11,4111612,광화문역6번출구.광화문빌딩,20241017,08,41_10001255,1,533,41016025,20241017072831,20241017081520,0,01,2,17210,2809,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,12.0,고양경찰서.토당청소년수련관(중),41,41281,4128112300,경기도,고양시 덕양구,화정동,20241017,1000,41016025,1000,대화동-대화동,26.0,광화문역6번출구.광화문빌딩,11,11110,1111011900,서울특별시,종로구,세종로,20241017,1000
20241017,41016025,1000,41,4196170,행신초등학교.더자인병원(중),11,4111612,광화문역6번출구.광화문빌딩,20241017,08,41_10003499,2,533,41016025,20241017063820,20241017071844,0,01,1,16390,2424,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,13.0,행신초등학교.더자인병원(중),41,41281,4128112800,경기도,고양시 덕양구,행신동,20241017,1000,41016025,1000,대화동-대화동,26.0,광화문역6번출구.광화문빌딩,11,11110,1111011900,서울특별시,종로구,세종로,20241017,1000
20241017,41016025,1000,41,4196170,행신초등학교.더자인병원(중),11,4111612,광화문역6번출구.광화문빌딩,20241017,08,41_10003499,2,533,41016025,20241017075038,20241017083337,0,01,4,16390,2579,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,13.0,행신초등학교.더자인병원(중),41,41281,4128112800,경기도,고양시 덕양구,행신동,20241017,1000,41016025,1000,대화동-대화동,26.0,광화문역6번출구.광화문빌딩,11,11110,1111011900,서울특별시,종로구,세종로,20241017,1000
20241017,41016025,1000,41,4196170,행신초등학교.더자인병원(중),11,4111612,광화문역6번출구.광화문빌딩,20241017,08,41_10003499,2,533,41016025,20241017085423,20241017093558,0,01,1,16390,2495,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,13.0,행신초등학교.더자인병원(중),41,41281,4128112800,경기도,고양시 덕양구,행신동,20241017,1000,41016025,1000,대화동-대화동,26.0,광화문역6번출구.광화문빌딩,11,11110,1111011900,서울특별시,종로구,세종로,20241017,1000
20241017,41016025,1000,41,4106852,주엽역(중),11,4111612,광화문역6번출구.광화문빌딩,20241017,08,41_10017778,2,533,41016025,20241017063232,20241017073512,0,01,2,25420,3760,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,6.0,주엽역(중),41,41287,4128710200,경기도,고양시 일산서구,주엽동,20241017,1000,41016025,1000,대화동-대화동,26.0,광화문역6번출구.광화문빌딩,11,11110,1111011900,서울특별시,종로구,세종로,20241017,1000
20241017,41016025,1000,41,4106852,주엽역(중),11,4111612,광화문역6번출구.광화문빌딩,20241017,08,41_10038047,2,533,41016025,20241017122950,20241017133448,0,01,1,25420,3898,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,6.0,주엽역(중),41,41287,4128710200,경기도,고양시 일산서구,주엽동,20241017,1000,41016025,1000,대화동-대화동,26.0,광화문역6번출구.광화문빌딩,11,11110,1111011900,서울특별시,종로구,세종로,20241017,1000
20241017,41016025,1000,41,4106852,주엽역(중),11,4111612,광화문역6번출구.광화문빌딩,20241017,08,41_10038047,2,533,41016025,20241017143737,20241017153529,0,01,3,25420,3472,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,6.0,주엽역(중),41,41287,4128710200,경기도,고양시 일산서구,주엽동,20241017,1000,41016025,1000,대화동-대화동,26.0,광화문역6번출구.광화문빌딩,11,11110,1111011900,서울특별시,종로구,세종로,20241017,1000
20241017,41016025,1000,41,4106859,일산동구청(중),11,4111612,광화문역6번출구.광화문빌딩,20241017,08,41_10047540,1,533,41016025,20241017190656,20241017194541,0,01,2,23560,2325,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,8.0,일산동구청(중),41,41285,4128510400,경기도,고양시 일산동구,장항동,20241017,1000,41016025,1000,대화동-대화동,26.0,광화문역6번출구.광화문빌딩,11,11110,1111011900,서울특별시,종로구,세종로,20241017,1000
20241017,41016025,1000,41,4196170,행신초등학교.더자인병원(중),11,4108423,숭례문,20241017,08,41_10053258,1,533,41016025,20241017074505,20241017082550,0,01,4,17780,2445,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,13.0,행신초등학교.더자인병원(중),41,41281,4128112800,경기도,고양시 덕양구,행신동,20241017,1000,41016025,1000,대화동-대화동,29.0,숭례문,11,11140,1114011800,서울특별시,중구,남대문로5가,20241017,1000
20241017,41016025,1000,41,4196170,행신초등학교.더자인병원(중),11,4108423,숭례문,20241017,08,41_10053258,1,533,41016025,20241017085911,20241017094154,0,01,3,17780,2563,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,13.0,행신초등학교.더자인병원(중),41,41281,4128112800,경기도,고양시 덕양구,행신동,20241017,1000,41016025,1000,대화동-대화동,29.0,숭례문,11,11140,1114011800,서울특별시,중구,남대문로5가,20241017,1000
20241017,41016025,1000,41,4127137,대화역(중),11,4111614,신한은행본점,20241017,08,41_10056917,2,533,41016025,20241017174440,20241017185429,0,01,1,27800,4189,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,4.0,대화역(중),41,41287,4128710400,경기도,고양시 일산서구,대화동,20241017,1000,41016025,1000,대화동-대화동,28.0,신한은행본점,11,11140,1114011400,서울특별시,중구,태평로2가,20241017,1000
20241017,41016025,1000,41,4127137,대화역(중),11,4111614,신한은행본점,20241017,08,41_10079106,2,533,41016025,20241017063856,20241017074803,1,01,4,27800,4147,N,대곡역·킨텍스역,덕양구·일산서구,41016025,1000,대화동-대화동,4.0,대화역(중),41,41287,4128710400,경기도,고양시 일산서구,대화동,20241017,1000,41016025,1000,대화동-대화동,28.0,신한은행본점,11,11140,1114011400,서울특별시,중구,태평로2가,20241017,1000
