노선번호,sttnArsno,sdCd,status,count,error
2200,30920,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30920 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0310070>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,31026,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=31026 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0327010>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30675,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30675 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0326200>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,31020,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=31020 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0316D40>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30916,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30916 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF03272B0>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30935,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30935 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0326E30>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,31726,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=31726 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0310580>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,31727,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=31727 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0311720>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,31709,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=31709 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0313010>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,31707,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=31707 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0316620>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30219,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30219 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0310160>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30811,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30811 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0313610>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30007,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30007 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0326F20>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30006,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30006 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0326380>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30004,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30004 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF03151E0>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30003,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30003 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF03261A0>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,31571,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=31571 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF03268C0>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,14216,11,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=11&sttnArsno=14216 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AE81B17FA0>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,14219,11,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=11&sttnArsno=14219 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0312E30>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,14220,11,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=11&sttnArsno=14220 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0311AB0>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,14895,11,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=11&sttnArsno=14895 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF03150F0>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,14835,11,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=11&sttnArsno=14835 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0312B90>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,14012,11,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=11&sttnArsno=14012 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0310220>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,14011,11,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=11&sttnArsno=14011 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AE808F2CB0>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,14217,11,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=11&sttnArsno=14217 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0326980>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,14218,11,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=11&sttnArsno=14218 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF03262F0>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30001,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30001 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0316B60>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30117,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30117 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0313FA0>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,30122,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=30122 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0312860>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,31426,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=31426 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0311ED0>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
2200,31855,41,ERROR,0,"ConnectTimeout(MaxRetryError(""HTTPSConnectionPool(host='stcis.go.kr', port=443): Max retries exceeded with url: /openapi/bussttn.json?apikey=20260915234522nnj3998ebr5d6tc3unpfk2062p&sdCd=41&sttnArsno=31855 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001AEF0326680>, 'Connection to stcis.go.kr timed out. (connect timeout=30)'))""))"
